id,nombre,vueltas
1,Bahrain Grand Prix,57
2,Saudi Arabian Grand Prix,50
3,Australian Grand Prix,58
4,Japanese Grand Prix,53
5,Chinese Grand Prix,56
6,Miami Grand Prix,57
7,Monaco Grand Prix,78
8,Canadian Grand Prix,70
9,Spanish Grand Prix,66
10,Austrian Grand Prix,71
11,British Grand Prix,52
12,Hungarian Grand Prix,70
13,Belgian Grand Prix,44
14,Dutch Grand Prix,72
15,Italian Grand Prix,53
16,Azerbaijan Grand Prix,51
17,Singapore Grand Prix,62
18,Mexico City Grand Prix,71
19,Brazilian Grand Prix,71
20,Las Vegas Grand Prix,50
21,Abu Dhabi Grand Prix,58